All Ordinaries Index (1 July 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,
BKW,Brickworks Limited,Materials,"2,336,750,000",0.12,,
BSA,BSA Limited,Industrials,"129,014,000",0.01,,
BUB,Bubs Aust Limited,Consumer Staples,"302,226,000",0.02,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,087,750,000",0.11,,
BWX,BWX Limited,Consumer Staples,"699,568,000",0.04,,
CAB,Cabcharge Australia,Industrials,"289,034,000",0.01,,
CAN,Cann Group Limited,Health Care,"373,893,000",0.02,,
CAJ,Capitol Health,Health Care,"261,938,000",0.01,,
CAR,Carsales.com Limited,Information Technology,"3,673,710,000",0.19,,
CAT,Catapult Group Int Limited,Information Technology,"233,847,000",0.01,,
CBA,Commonwealth Bank,Financials,"128,240,000,000",6.59,,
A2M,The a2 Milk Company,Consumer Staples,"7,680,010,000",0.39,,
CCL,Coca-Cola Amatil,Consumer Staples,"6,660,800,000",0.34,,
CCP,Credit Corp Group,Financials,"862,102,000",0.04,,
CCV,Cash Converters,Consumer Discretionary,"191,096,000",0.01,,
CDA,Codan Limited,Information Technology,"534,570,000",0.03,,
CDD,Cardno Limited,Industrials,"637,855,000",0.03,,
CDP,Carindale Property Units FP,Real Estate,"570,500,000",0.03,,
CDV,Cardinal Reso Limited,Materials,"160,632,000",0.01,,
CEN,Contact Energy Limited Foreign Exempt NZX,Utilities,"986,386,000",0.05,,
CGC,Costa Group Holdings,Consumer Staples,"2,637,510,000",0.14,,
CGF,Challenger Limited,Financials,"7,226,420,000",0.37,,
CGL,The Citadel Group,Information Technology,"322,557,000",0.02,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"3,036,870,000",0.16,,
CIA,Champion Iron Limited,Materials,"553,104,000",0.03,,
CII,Ci Resources Limited,Materials,"202,267,000",0.01,,
CIM,Cimic Group Limited,Industrials,"13,715,900,000",0.71,,
CIP,Centuria I REIT Ordinary Units FP,Real Estate,"638,278,000",0.03,,
CKF,Collins Foods Limited,Consumer Discretionary,"648,725,000",0.03,,
CL1,Class Limited,Information Technology,"282,389,000",0.01,,
CLH,Collection House,Industrials,"204,357,000",0.01,,
CLQ,Clean TEQ Holdings Limited,Industrials,"597,624,000",0.03,,
CLW,CHTR H LWR Stapled Securities,Real Estate,"1,022,120,000",0.05,,
CMA,Centuria Metro REIT Ordinary Units FP,Real Estate,"602,125,000",0.03,,
CMW,Cromwell Prop Ordinary/Units FP Stapled Securities,Real Estate,"2,223,560,000",0.11,,
CNI,Centuria Capital Stapled Securities,Financials,"428,234,000",0.02,,
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"1,641,230,000",0.08,,
COE,Cooper Energy Limited,Energy,"616,415,000",0.03,,
COH,Cochlear Limited,Health Care,"11,519,300,000",0.59,,
CPU,Computershare Limited,Information Technology,"10,006,700,000",0.51,,
CQR,Charter Hall Retail Units FP,Real Estate,"1,687,450,000",0.09,,
CRD,Credible Labs Chess Depositary Interests 25:1 US Prohibited,Financials,"107,696,000",0.01,,
CRR,Conven Retail REIT Stapled Securities,Real Estate,"213,873,000",0.01,,
CSL,CSL Limited,Health Care,"87,141,300,000",4.48,,
CSR,CSR Limited,Materials,"2,314,770,000",0.12,,
CTD,Corp Travel Limited,Consumer Discretionary,"2,896,760,000",0.15,,
CTX,Caltex Australia,Energy,"8,486,770,000",0.44,,
CUV,Clinuvel Pharmaceut,Health Care,"526,547,000",0.03,,
CVC,CVC Limited,Financials,"318,068,000",0.02,,
CVW,Clearview Wealth Limited,Financials,"775,185,000",0.04,,
CWN,Crown Resorts Limited,Consumer Discretionary,"9,280,190,000",0.48,,
CWP,Cedar Woods Prop,Real Estate,"458,015,000",0.02,,
CWY,Cleanaway Waste Limited,Industrials,"3,442,000,000",0.18,,
CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,Financials,"4,147,420,000",0.21,,
CZZ,Capilano Honey Limited,Consumer Staples,"157,940,000",0.01,,
DCG,Decmil Group Limited,Industrials,"168,598,000",0.01,,
DCN,Dacian Gold Limited,Materials,"586,658,000",0.03,,
DDR,Dicker Data Limited,Information Technology,"465,705,000",0.02,,
DFM,Dongfang Modern AG,Consumer Staples,"416,153,000",0.02,,
DHG,Domain Holdings Aus,Information Technology,"1,869,190,000",0.1,,
DLX,Duluxgroup Limited,Materials,"2,977,760,000",0.15,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"4,457,920,000",0.23,,
DNA,Donaco International,Consumer Discretionary,"119,626,000",0.01,,
DNK,Danakali Limited,Materials,"178,073,000",0.01,,
DOW,Downer Edi Limited,Industrials,"4,032,080,000",0.21,,
DTL,Data#3 Limited,Information Technology,"246,360,000",0.01,,
DWS,DWS Limited,Information Technology,"166,107,000",0.01,,
DXS,Dexus Units FP Stapled,Real Estate,"9,876,980,000",0.51,,
ECX,Eclipx Group Limited,Financials,"1,003,270,000",0.05,,
EDE,Eden INV Limited,Energy,"81,596,400",0,,
EHE,Estia Health Limited,Health Care,"857,383,000",0.04,,
EHL,Emeco Holdings,Industrials,"1,192,070,000",0.06,,
ELD,Elders Limited,Consumer Staples,"979,826,000",0.05,,
EML,EML Payments Limited,Financials,"350,208,000",0.02,,
ENN,Elanor Investors Group Stapled Securities FP,Consumer Discretionary,"191,070,000",0.01,,
EOS,Electro Optic SYS,Industrials,"281,584,000",0.01,,
EPW,Erm Power Limited,Utilities,"378,937,000",0.02,,
EQT,Equity HL,Financials,"423,151,000",0.02,,
ERA,Energy Resources 'A',Energy,"204,501,000",0.01,,
ERF,Elanoretl Property Stapled Securities,Real Estate,"166,061,000",0.01,,
ESV,Eservglobal Limited,Information Technology,"136,028,000",0.01,,
EVN,Evolution Mining Limited,Materials,"5,941,070,000",0.31,,
EVT,Event Hospitality,Consumer Discretionary,"2,149,860,000",0.11,,
EWC,Energy World Corpor,Utilities,"305,257,000",0.02,,
EXP,Experience Co Limited,Consumer Discretionary,"351,395,000",0.02,,
EZL,EUROZ Limited,Financials,"201,237,000",0.01,,
FAR,FAR Limited,Energy,"573,461,000",0.03,,
FBR,Fastbrick Robotics,Industrials,"190,998,000",0.01,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"5,435,820,000",0.28,,
FDM,Freedom Oil Gas,Energy,"264,003,000",0.01,,
FET,Folkestone Edu Trust Units FP,Real Estate,"687,978,000",0.04,,
FID,Fiducian Group Limited,Financials,"145,692,000",0.01,,
FLC,Fluence Corporation,Industrials,"168,184,000",0.01,,
FLK,Folkestone Limited,Real Estate,"162,680,000",0.01,,
FLN,Freelancer Limited,Information Technology,"201,450,000",0.01,,
FLT,Flight Centre Travel,Consumer Discretionary,"6,433,230,000",0.33,,
FMG,Fortescue Metals Group,Materials,"13,669,600,000",0.7,,
FMS,Flinders Mines Limited,Materials,"272,723,000",0.01,,
FNP,Freedom Food Limited,Consumer Staples,"1,642,010,000",0.08,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"7,821,860,000",0.4,,
FRI,Finbar Group Limited,Real Estate,"255,878,000",0.01,,
FSA,FSA Group Limited,Financials,"175,130,000",0.01,,
FWD,Fleetwood Corp,Consumer Discretionary,"138,988,000",0.01,,
FXJ,Fairfax Media Limited,Consumer Discretionary,"1,724,610,000",0.09,,
FXL,Flexigroup Limited,Financials,"830,895,000",0.04,,
GCS,Global Construction,Industrials,"157,749,000",0.01,,
GCY,Gascoyne Res Limited,Materials,"215,178,000",0.01,,
GDF,Garda DIV Prop Fund Ordinary Units FP,Real Estate,"161,288,000",0.01,,
GDI,GDI Property Group Stapled Securities FP,Real Estate,"692,298,000",0.04,,
GEM,G8 Education Limited,Consumer Discretionary,"1,056,600,000",0.05,,
GMA,Genworth Mortgage,Financials,"1,213,320,000",0.06,,
GMG,Goodman Group Stapled Securities FP,Real Estate,"17,323,300,000",0.89,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,757,610,000",0.09,,
GNG,GR Engineering Limited,Materials,"213,100,000",0.01,,
GOR,Gold Road Res Limited,Materials,"649,349,000",0.03,,
GOW,Gowing Bros. Limited,Financials,"155,136,000",0.01,,
GOZ,Growthpoint Property Unit/ Stapled Securities,Real Estate,"2,438,140,000",0.13,,
GPT,GPT Group Stapled Securities FP,Real Estate,"9,132,750,000",0.47,,
GRR,Grange Resources,Materials,"202,534,000",0.01,,
GSC,Global Geoscience,Materials,"529,019,000",0.03,,
GSW,Getswift Limited,Information Technology,"36,211,700",0,,
GTN,GTN Limited,Consumer Discretionary,"489,891,000",0.03,,
GTY,Gateway Lifestyle Stapled Securities,Real Estate,"707,683,000",0.04,,
GUD,G.U.D. Holdings,Consumer Discretionary,"1,220,390,000",0.06,,
GWA,GWA Group Limited,Industrials,"897,422,000",0.05,,
GXL,Greencross Limited,Consumer Discretionary,"537,485,000",0.03,,
GXY,Galaxy Resources,Materials,"1,234,650,000",0.06,,
HAS,Hastings Tech Met,Materials,"160,012,000",0.01,,
HFR,Highfield Res Limited,Materials,"247,069,000",0.01,,
HLO,Helloworld Travl Limited,Consumer Discretionary,"597,639,000",0.03,,
HOM,Homeloans Limited,Financials,"227,628,000",0.01,,
HPI,Hotel Property Stapled Security FP,Real Estate,"461,693,000",0.02,,
HRR,Heron Resources,Materials,"152,250,000",0.01,,
HSN,Hansen Technologies,Information Technology,"619,442,000",0.03,,
HSO,Healthscope Limited,Health Care,"3,844,740,000",0.2,,
HT1,HT&E Limited,Consumer Discretionary,"775,369,000",0.04,,
HTA,Hutchison,Telecommunication Services,"637,908,000",0.03,,
HUB,HUB24 Limited,Financials,"711,349,000",0.04,,
HUO,Huon Aquaculture Group,Consumer Staples,"389,524,000",0.02,,
HVN,Harvey Norman,Consumer Discretionary,"3,699,110,000",0.19,,
IAG,Insurance Australia,Financials,"20,195,000,000",1.04,,
IDR,Industria REIT Stapled Securities,Real Estate,"431,525,000",0.02,,
IDX,Integral Diagnostics,Health Care,"438,033,000",0.02,,
IEL,Idp Education Limited,Consumer Discretionary,"2,630,600,000",0.14,,
IFL,IOOF Holdings Limited,Financials,"3,156,170,000",0.16,,
IFM,Infomedia Limited,Information Technology,"298,391,000",0.02,,
IFN,Infigen Energy Stapled Securities FP,Utilities,"629,680,000",0.03,,
IGL,Ivegroup,Consumer Discretionary,"339,157,000",0.02,,
IGO,Independence Group,Materials,"3,016,780,000",0.16,,
ILU,Iluka Resources,Materials,"4,718,430,000",0.24,,
IMD,IMDEX Limited,Materials,"456,523,000",0.02,,
IMF,IMF Bentham Limited,Financials,"521,590,000",0.03,,
INA,Ingenia Group Units FP Stapled Securities,Real Estate,"640,922,000",0.03,,
ING,Inghams Group,Consumer Staples,"1,452,530,000",0.07,,
INM,Iron Mountain Incorp Cdi 1:1 Foreign Exempt NYSE,Real Estate,"2,261,690,000",0.12,,
IOF,Investa Office Fund Stapled Securities,Real Estate,"3,129,730,000",0.16,,
IPD,Impedimed Limited,Health Care,"149,669,000",0.01,,
IPH,IPH Limited,Industrials,"878,170,000",0.05,,
IPL,Incitec Pivot,Materials,"6,029,750,000",0.31,,
IRE,Iress Limited,Information Technology,"2,084,620,000",0.11,,
IRI,Integrated Research,Information Technology,"533,928,000",0.03,,
ISD,Isentia Group Limited,Information Technology,"141,000,000",0.01,,
ISU,Iselect Limited,Consumer Discretionary,"178,003,000",0.01,,
IVC,Invocare Limited,Consumer Discretionary,"1,511,820,000",0.08,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,587,170,000",0.13,,
JHC,Japara Healthcare LT,Health Care,"479,927,000",0.02,,
JHG,Janus Henderson Chess Depositary Interests,Financials,"3,124,830,000",0.16,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"10,013,800,000",0.51,,
JIN,Jumbo Interactive,Consumer Discretionary,"271,871,000",0.01,,
JLG,Johns LYNG Group,Industrials,"287,438,000",0.01,,
KAR,Karoon Gas Australia,Energy,"277,537,000",0.01,,
KDR,Kidman Resources Limited,Materials,"741,323,000",0.04,,
KGN,Kogan.com Limited,Consumer Discretionary,"631,873,000",0.03,,
KMD,Kathmandu Hold Limited,Consumer Discretionary,"603,844,000",0.03,,
KSC,K & S Corporation,Industrials,"200,492,000",0.01,,
LEP,Ale Property Group Ordinary/Units FP Stapled Securities,Real Estate,"1,094,350,000",0.06,,
LIC,Lifestyle Communit,Real Estate,"611,589,000",0.03,,
LLC,Lendlease Group Unit/ Stapled Securities,Real Estate,"11,376,100,000",0.58,,
LNG,Liquefied Natural,Energy,"330,685,000",0.02,,
LNK,Link Admin HLDG,Information Technology,"3,881,550,000",0.2,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"1,228,690,000",0.06,,
LVH,Livehire Limited,Information Technology,"152,921,000",0.01,,
LYC,Lynas Corporation,Materials,"1,550,360,000",0.08,,
LYL,Lycopodium Limited,Industrials,"184,756,000",0.01,,
MAH,Macmahon Holdings,Materials,"463,322,000",0.02,,
MAQ,Macquarie Telecom GP,Telecommunication Services,"429,075,000",0.02,,
MDC,Medlab Clinical Limited,Health Care,"114,412,000",0.01,,
MDL,Mineral Deposits,Materials,"330,936,000",0.02,,
MFG,Magellan Fin Group Limited,Financials,"4,105,720,000",0.21,,
MGR,Mirvac Group Stapled Securities,Real Estate,"8,052,590,000",0.41,,
MGX,Mount Gibson Iron,Materials,"477,005,000",0.02,,
MHJ,Michael Hill Int,Consumer Discretionary,"375,815,000",0.02,,
MIN,Mineral Resources,Materials,"3,005,110,000",0.15,,
MLD,Maca Limited,Materials,"321,609,000",0.02,,
MLX,Metals X Limited,Materials,"489,710,000",0.03,,
