All Ordinaries Index (1 July 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,
RUL,Rpmglobal Holdings Limited,Information Technology,"133,874,000",0.01,,
RVA,Reva Medical Inc Cdi 10:1,Health Care,"245,413,000",0.01,,
RWC,Reliance Worldwide,Industrials,"4,234,910,000",0.22,,
S32,SOUTH32 Limited,Materials,"18,513,600,000",0.95,,
SAR,Saracen Mineral,Materials,"1,791,440,000",0.09,,
SBM,ST Barbara Limited,Materials,"2,514,090,000",0.13,,
SCG,Scentre Group Stapled Securities,Real Estate,"23,348,400,000",1.2,,
SCO,Scott Pac Group Limited,Financials,"445,413,000",0.02,,
SCP,Sca Property Group Units FP Stapled Securities,Real Estate,"1,835,430,000",0.09,,
SDA,Speedcast Int Limited,Telecommunication Services,"1,477,090,000",0.08,,
SDF,Steadfast Group Limited,Financials,"2,228,430,000",0.11,,
SDG,Sunland Group Limited,Real Estate,"277,057,000",0.01,,
SEH,Sino Gas Energy,Energy,"476,742,000",0.02,,
SEK,Seek Limited,Industrials,"7,656,530,000",0.39,,
SFR,Sandfire Resources,Materials,"1,450,780,000",0.07,,
SGF,SG Fleet Group Limited,Industrials,"952,225,000",0.05,,
SGH,Slater & Gordon,Consumer Discretionary,"133,492,000",0.01,,
SGM,Sims Metal MGMT Limited,Materials,"3,258,810,000",0.17,,
SGP,Stockland Units/ Stapled Securities,Real Estate,"9,664,840,000",0.5,,
SGR,The Star Ent Group,Consumer Discretionary,"4,522,400,000",0.23,,
SHL,Sonic Healthcare,Health Care,"10,415,200,000",0.54,,
SHV,Select Harvests,Consumer Staples,"657,062,000",0.03,,
SIG,Sigma Health Limited,Health Care,"858,188,000",0.04,,
SIQ,Smartgrp Corporation,Industrials,"1,528,470,000",0.08,,
SIV,Silver Chef Limited,Industrials,"148,433,000",0.01,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,415,180,000",0.12,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,834,980,000",0.2,,
SKT,Sky Network,Consumer Discretionary,"933,935,000",0.05,,
SLC,Superloop Limited,Telecommunication Services,"575,786,000",0.03,,
SLK,Sealink Travel Group,Consumer Discretionary,"448,113,000",0.02,,
SLR,Silver Lake Resource,Materials,"302,368,000",0.02,,
SOL,Soul Pattinson (W.H),Energy,"4,953,090,000",0.25,,
SOM,Somnomed Limited,Health Care,"136,852,000",0.01,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"6,277,040,000",0.32,,
SPL,Starpharma Holdings,Health Care,"431,685,000",0.02,,
SRV,Servcorp Limited,Real Estate,"409,478,000",0.02,,
SRX,Sirtex Medical,Health Care,"1,754,060,000",0.09,,
SSM,Service Stream,Industrials,"543,917,000",0.03,,
SST,Steamships Trading 50 Toea,Industrials,"573,652,000",0.03,,
STO,Santos Limited,Energy,"13,059,900,000",0.67,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,597,640,000",0.08,,
SUN,Suncorp Group Limited,Financials,"18,945,200,000",0.97,,
SVW,Seven Group Holdings,Industrials,"6,022,710,000",0.31,,
SWM,Seven West Media Limited,Consumer Discretionary,"1,266,750,000",0.07,,
SXE,STH CRS Elect ENGNR,Industrials,"165,443,000",0.01,,
SXL,STHN Cross Media,Consumer Discretionary,"1,007,410,000",0.05,,
SXY,SENEX Energy Limited,Energy,"629,563,000",0.03,,
SYD,SYD Airport FP Stapled Securities US Prohibited,Industrials,"16,133,000,000",0.83,,
SYR,Syrah Resources,Materials,"859,585,000",0.04,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"8,977,860,000",0.46,,
TAW,Tawana Resources NL,Materials,"234,355,000",0.01,,
TBR,Tribune Res Limited,Materials,"317,519,000",0.02,,
TCL,Transurban Group Ordinary Shares/Units FP Triple Stapled,Industrials,"26,630,000,000",1.37,,
TGP,360 Capital Group Stapled Securities FP,Real Estate,"231,955,000",0.01,,
TGR,Tassal Group Limited,Consumer Staples,"720,515,000",0.04,,
TLS,Telstra Corporation,Telecommunication Services,"31,160,400,000",1.6,,
TME,Trade Me Group Foreign Exempt NZX,Consumer Discretionary,"1,695,520,000",0.09,,
TNE,Technology One,Information Technology,"1,341,040,000",0.07,,
TPE,Tpi Enterprises,Health Care,"111,898,000",0.01,,
TPM,TPG Telecom Limited,Telecommunication Services,"4,796,790,000",0.25,,
TTM,Titan Minerals,Materials,"65,405,000",0,,
TWE,Treasury Wine Estate,Consumer Staples,"12,497,600,000",0.64,,
TZN,Terramin Australia,Materials,"196,295,000",0.01,,
UOS,United Overseas Aust,Real Estate,"340,317,000",0.02,,
UPD,Updater Inc Chess Depositary Interests 25:1 Forus,Information Technology,"618,648,000",0.03,,
URF,US Masters Res Fund Ordinary Units FP,Real Estate,"562,868,000",0.03,,
URW,Unibailrodawestfield Chess Depositary Interests 20:1,Real Estate,"9,707,060,000",0.5,,
VAH,Virgin Aus HLDG Limited,Industrials,"1,857,950,000",0.1,,
VCX,Vicinity Centres Ordinary/Units FP Stapled Securities,Real Estate,"10,027,500,000",0.52,,
VLW,Villa World Limited,Real Estate,"281,776,000",0.01,,
VOC,Vocus Group Limited,Telecommunication Services,"1,437,250,000",0.07,,
VRL,Village Roadshow Limited,Consumer Discretionary,"373,896,000",0.02,,
VRT,Virtus Health Limited,Health Care,"462,242,000",0.02,,
VTG,Vita Group Limited,Consumer Discretionary,"157,183,000",0.01,,
VVR,Viva Energy REIT Stapled Securities,Real Estate,"1,632,940,000",0.08,,
WAF,West African Res Limited,Materials,"262,513,000",0.01,,
WBA,Webster Limited,Consumer Staples,"673,722,000",0.03,,
WBC,Westpac Banking Corp,Financials,"100,305,000,000",5.16,,
WEB,Webjet Limited,Consumer Discretionary,"1,598,280,000",0.08,,
WES,Wesfarmers Limited,Consumer Staples,"55,966,400,000",2.88,,
WGN,Wagners HLD Company,Materials,"701,984,000",0.04,,
WGX,Westgold Resources,Materials,"671,753,000",0.03,,
WHC,Whitehaven Coal,Energy,"5,930,550,000",0.3,,
WLL,Wellcom Group Limited,Industrials,"171,829,000",0.01,,
WOR,Worleyparsons Limited,Energy,"4,771,890,000",0.25,,
WOW,Woolworths Group Limited,Consumer Staples,"40,082,600,000",2.06,,
WPL,Woodside Petroleum,Energy,"33,195,900,000",1.71,,
WPP,WPP AUNZ Limited,Consumer Discretionary,"860,673,000",0.04,,
WSA,Western Areas Limited,Materials,"971,142,000",0.05,,
WTC,Wisetech Global Limited,Information Technology,"4,685,190,000",0.24,,
XAM,Xanadu Mines Limited,Materials,"100,111,000",0.01,,
XRO,Xero Limited,Information Technology,"6,249,100,000",0.32,,
YAL,Yancoal Aust Limited,Energy,"6,154,740,000",0.32,,
YOJ,Yojee Limited,Information Technology,"103,604,000",0.01,,
Z1P,ZIP Co Limited,Financials,"255,649,000",0.01,,
ZEL,Z Energy Limited Foreign Exempt NZX,Energy,"2,800,000,000",0.14,,
ZIM,Zimplats Holding Limited 10c US,Materials,"645,826,000",0.03,,
